id,imdb_id,overview
78802,tt0114952,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot."
161495,tt0114296,An elderly yet young-at-heart man moves in with his grandson and both their lives turn upside-down.
287305,tt0117312,Peanuts - The bank pays everything.
339428,tt0116485,
10801,tt0117788,"Franziska is a romantic woman with two children and a husband who is working around the globe as a movie director. When she wants to buy a flat, she gets in contact with Enno Winkel, a fanatic lawyer whose hobby is divorce cases. Before she even realizes what is happening, Enno Winkel initiates her divorce.—Oliver Heidelbach"
278978,tt0118026,"Leo and Marili grow up in a working class neighborhood in post world war one Munich in Germany. They make their first holy communion, fall in love for the first time, graduate from school and start working, bury a loved one for the first time in their lives, and generally try to get as much out of life as they can under the circumstances in the 1920s and 1930s, up until the first day of the second world war."
117730,tt0109751,Individual memories of a group of teenage Holocaust survivors in Israel creates sharp conflicts among them.
281085,tt0112568,"After a run-in with the law, an angry maladjusted young man starts calling himself ""Hate"". One night he saves a girl from a lusty Assistant District Attorney. He falsely accuses them of robbery, so they go on the run and make things worse."
282919,tt0112865,"Three frustrated, unknown housewives meet a second time. As thieves, they want to bring down a tax evader."
48144,tt0111424,Guan Jian wants to report the murder of his father who died 10 years ago. The alleged murderer whom Guan Jian accuses of the crime is his own mother.
145925,tt0107575,"The movie tells the little stories of a group of families who live in the same building in Rome as seen from the eyes of Sandrino, a little kid who is awaiting for a total eclipse of the sun, that really happened during summer of '61, and it was was fully visible from Italy. He sees his family life, a young girl who is about to marry a man she doesn't love, an old man who has just died and whose relatives fight for his inheritance, a blind trumpet player who hopes to recover, his little friends...—<Sembola>"
253632,tt0094822,"Poor gigolo tries to frame his rich mature mistress, but gets tangled in his own wiles."
108365,tt0117400,An expatriated French novelist (Jeanne Moreau) returns to Paris when she learns that her childhood home is being placed on the auction block. What she doesn't count on is that she has to confront many old issues dating back to her childhood and bringing herself full circle to her present day life.—John Sacksteder <jsackste@bellsouth.net>
146341,tt0115684,"As a boy, Dominik watched an American crime boss murder his father, a police officer fighting corruption in Sofia, Bulgaria. Years later, he attempts to avenge his father's death but is imprisoned for 15 years for attempted murder. In prison, he meets an American photo-journalist who shares his enemy and his thoughts of revenge. Released from prison, the two hatch a plot which involves the man's recently-arrived daughter.—Murray Chapman <muzzle@cs.uq.oz.au>"
43775,tt0109949,"It is a satire about life in Cuba. The members of a funeral procession and some truck drivers who need to take the same route begin to talk about God and the world and they end up discovering that life for both groups has many similarities and many differences, depending on the point of view.—Volker Boehm"
60083,tt0117544,Salut Cousin! is the tale of two Algerian cousins and their mishaps in the racially volatile environment of Paris.
77314,tt0101530,"Featuring music instead of any dialogue and set in a near Kafkaesque future, this loose remake of The Cabinet of Dr. Caligari follows a bureaucrat who mysterious Dr. Ramirez and his hideous sidekick want as their latest victim."
134368,tt0122642,"A detective tries to remain loyal to his partner, and his best friend - a mobster."
109472,tt0289175,A mentally unstable girl gets obsessed with the new tenant. The story deals with how the tenant and his fiancée deals with this obsession.
47596,tt0212517,Two young lovers meet on a series of snowy days in high school.
49788,tt0098347,Benadette Peters stars in this ironic film based on Tama Janowitz's best-selling collection of short stories that defined the downtown New York art scene of the 1980s
78657,tt0236000,"A chance meeting with Aie,a waitress with a strange name, will drive a 50 years old neurotic man Robert crazy."
58886,tt0209037,"Jean is a family man and factory worker who dreams of becoming a songwriter. Pinning his hopes on his teenage daughter, Marva, he takes her to singing contests in which the awkward and overweight girl struggles to belt out a tune. When Jean is suddenly fired because of cut backs, he is ashamed and even more desperate to have his daughter succeed. In a chance meeting Jean kidnaps the most famous pop star in the country and holds her hostage demanding to be heard by the music industry. Catching the attention of the media and the eyes of the nation, Jean and Marva realize that the show must go on until everyone is famous.—Sujit R. Varma"
29224,tt0084189,"Sickan, Vanheden and Rocky try to rob the Berns nightclub one night, but Vanheden has made the mistake to invite his constantly drunk cousin, the old dynamiter Dynamite-Harry and he ruins the plan. Sickan is arrested, and has to spend 10 months in a small, locked room. When he is released, he has a new plan, but Rocky and Vanheden have decided to go straight. Together with Dynamite-Harry, Sickan plans to rob a cold store, managed by their arch-enemy, Wall-Enberg.—Mattias Thuresson, corrected by Martin Ruist."
81346,tt0084874,A Nobel prize winner returns to his natal city looking for his home.
61939,tt0327201,"Woman uses her three daughters to avenge their father and brothers, killed by a jealous ex-fiancé."
65048,tt0056389,"The film shows the history of the Neapolitan popular revolt against the invading Germans during World War II. During the four days in Naples, the revolt turns over in just a few hours. Neapolitans slung on rifles and guns or armed themselves with stones, house-objects, gasoline-bottles, anything and everything, anonymous and silent. Gennarino Capuozzo, a 10-year-old killed on a barricade while he was fighting against the invaders, is remembered as a hero.—Adalberto Fornario"
53688,tt0102982,"The stationmaster is trying to prevent his station from being closed. The train isn't coming and he has to explain to the waiting trainpassengers why it's late, while other people is trying to get the station for their use; for example the italians, who want to make a pizzeria out of it.—Per Bratt <perbratt@canit.se>"
175739,tt0170517,Finland in the 1850's take the first steps towards independence. The Finnish-language authors introduce themselves.
100594,tt0359564,"Fire, water, wind, earth and emptiness... Five core elements of life that once inspired a book. The Booke of Fate. Far away from here there was a mythical world -free of suffering and injustice. But it wasn't enough. People wanted to play God... They created a pen to control the Booke of Fate. Mightier than a sword, it could write off deeds -and bring back the dead. But the book gave power, power caused fear -and fear brought suffering. And the suffering caused wars. Darkness fell on earth, making demands on the pen and the book. But the book was gone. It was thought to be lost forever -but hundreds of years later it reappeared on a small planet called Earth. The prophecy says: Only the chosen will get a second chance from the book. The destiny of the chosen one is to guide the book back. But his journey will be long, filled with errors and grief. This is his story.—press@kohtalonkirja.com"
32546,tt0329330,"In Buenos Aires, a few days before traveling to Spain with his beloved wife Liliana Rovira to visit their son Pedro, the leftist Literature professor Fernando Robles is compulsory retired in the University, and he concludes that it is impossible to live with his pension. The crisis in Argentina does not allow Fernando to get a new job, and his wife decides to sell her family's apartment and move to a small farm near Villa Dolores to reduce their expenses. Fernando comes up with the idea to grow lavender and sell the oil to the perfume industry.—Claudio Carvalho, Rio de Janeiro, Brazil"
113178,tt0192766,"When Anthony's African-American girlfriend Alissa meets his Italian-American family at his grandfather's funeral, confrontations, confessions, and a hilarious race to the altar ensue!"
55396,tt0349691,"Bright young soldier Mertsi suffers a permanent brain injury in the Second World War. In the late 1940s he wanders around the Finnish countryside looking for simple work and relying on other people's help. A workmate, Ville, tells him about his clever Spitz dog back home and the problems with her overlong dew claws. Together with his helpful war buddy Eetvi, Mertsi joins a lumber camp in the middle of a freezing winter, tries hard but finds the work there too strenuous for his body and mind. While he still sees nightmares about the war, in the daytime he keeps dreaming and worrying about the dog...—Markku Kuoppamäki"
68646,tt0354068,Tables turn as snooty film critic and art cinema lover Yanek Drzazga is faced with a task of writing and directing a movie - a shamelessly commercial vanity project starring wife of notorious gangster.
52920,tt0077350,"What Will You Do When You Catch Me? is a parody of comunist times in Poland. A state-owned company director is having an afair during his delegation. Later on, his mistress turns out to be the daughter of a Communist party bigwig and pregnant. He knows he'll have to marry her to save his reputation and his job. But divorce is never simple..."
155386,tt0439810,"A documentary on three young people who live in Medellín, Colombia, an area ruled by a gang with ties to the nation's paramilitary armies."
22554,tt1087458,"A farce about blackmailing, a kidney transplant operation performed at home, deviants and human relationships."
47499,tt0304547,"This movie tells the story of Bruno (Daniel Auteuil), a Communist newspaper journalist suffering a mid-life crisis. Torn between his wife Gaëlle (Emmanuel Devos) and his young girlfriend Nathalie (Ludivine Sagnier), his political beliefs battered by the wind of history, Bruno seems to have lost his bearings. After responding to a call for help from his uncle (Jean Yanne), who is fighting a losing battle for re-election as the Communist Mayor of a small town near Grenoble, Bruno gets lost in a dark forest. There he meets Béatrice (Dame Kristin Scott Thomas), who does nothing to stop him from getting even more lost."
55748,tt0387701,
55500,tt0107751,"In the 1960s, a family's story is seen from the perspective of a young boy leaving for school."
61070,tt0047338,
156908,tt1331092,"An inward little town in Finland transforms into a melting pot of nationalities, religions and cultures when Finnish Basketball Federation opens the borders for foreign players. The Board of a local team puts all their eggs in the new season trebling their budget. Unknowingly it hires an uneasy twosome as the new manager and new coach for the team. The airlift from America, Europe and even Africa hauls in player after player when the coach burns the money that never realizes. The tragicomic efforts of the manager to gather the unrealistic budget and even to find a washing-machine for the players evolve into an anatomy of inflamed working environment. The manager's power-struggle with the coach has a bitter end where there's only space for one of them in the town. The player-candidates come with high hopes and end up being the pawns in the game. Their life among the locals create absurd encounters that originate from all walks of life.—O. Pastila"
210487,tt0064203,"Tomasz Piechocki is a young doctor who is looking for his own flat. And one day his dream comes true, he gets an assignment for an apartment. But to get it, he must first get married. Tomasz begins a frantic search for his wife. He has only 30 days for it. I do not want his friend to be indifferent to him. After the initial failures, he meets this one, the only one.—Producer"
38869,tt0084923,"When her daughter unexpectedly gets pregnant, authoritative mother Jadwiga, who is a local government official, starts looking for a fictional husband. To make matters worse, she only finds a guy with a criminal record."
155426,tt0346513,A naughty angel called Giordano is sent to Earth to make at least one good deed each day. Giordano is supposed to be sent to Holand but by a spelling mistake lands in Poland instead.
200796,,
64968,tt0119620,"Marius is the keeper of an abandoned cement works staying high above the quarter of l'Estaque in Marseilles. Jeannette is bringing up her two children alone with her poor checkout operator salary. Their meeting won't be without trouble, since besides material difficulties, both of them are wounded by life. They have to learn how to be happy again.—Gregoire Dubost <Gregoire.Dubost@polytechnique.fr>"
156917,tt0054169,Foretelling machine tells Pekka and Pätkä that they will have a shining future as Negroes.
